Supplier_ID,Fabric_Trim,Fabric_Rib,Fabric_Body,Fabric_CollarCuff,Sewing_Trims,Packing_Trims,Interlining,Threads,Color_Sets_Count,Unit_Count,Order_Value_USD,Delay_Penalty_USD_Per_Day,Shipping_Cost_USD,Order_Priority,Order_ID,Delivery_Status,Forwarder,Mill_Source
SUP-015,601.0,106.0,1060.0,442.0,1291.0,1816.0,1287.0,3407.0,2.0,13999.0,139990.0,1399.9,2800.0,medium,ORD-20260625-H0001,On-Time,Wanhai,internel
SUP-006,,822.0,3972.0,408.0,2234.0,137.0,260.0,1382.0,10.0,4360.0,61040.0,610.4,4500.0,Low,ORD-20260625-H0002,On-Time,ONE,Internal
SUP-014,748.0,404.0,3292.0,716.0,2150.0,2533.0,590.0,4447.0,7.0,7085.0,,708.5,1500.0,Medium,ORD-20260625-H0003,On-Time,Gemadept,Outsource
SUP-008,294.0,688.0,666.0,131.0,2519.0,844.0,820.0,1108.0,4.0,5143.0,30858.0,308.58,1500.0,Low,ORD-20260625-H0004,Late,Gemadept,Outsource
SUP-013,358.0,284.0,4626.0,930.0,1651.0,1704.0,1112.0,3825.0,6.0,4408.0,44080.0,440.8,10000.0,Medium,ORD-20260625-H0005,On-Time,DHL,Internal
SUP-006,280.0,796.0,3644.0,878.0,2789.0,181.0,1333.0,4629.0,9.0,14732.0,1767840.0,1178.56,1500.0,medium,ORD-20260625-H0006,On-Time,Gemadept,Internal
SUP-009,1456.0,,3371.0,291.0,197.0,1241.0,726.0,662.0,5.0,7604.0,60832.0,608.32,2800.0,High,ORD-20260625-H0007,On-Time,Wanhai,Internal
SUP-014,204.0,787.0,3119.0,844.0,2817.0,1944.0,144.0,1692.0,10.0,13949.0,139490.0,1394.9,4500.0,High,ORD-20260625-H0008,On-Time,ONE,Internal
SUP-014,1248.0,722.0,330.0,121.0,1874.0,149.0,1463.0,1249.0,4.0,9987.0,59922.0,599.22,2800.0,Low,ORD-20260625-H0009,On-Time,Wanhai,Internal
SUP-005,897.0,469.0,1885.0,229.0,1645.0,2816.0,269.0,3437.0,3.0,7006.0,91078.0,910.78,1500.0,Medium,ORD-20260625-H0010,On-Time,Gemadept,Internal
SUP-014,164.0,995.0,969.0,758.0,420.0,2221.0,955.0,3637.0,7.0,2652.0,37128.0,371.28,2800.0,Medium,ORD-20260625-H0011,On-Time,Wanhai,Internal
SUP-004,1463.0,251.0,2591.0,812.0,633.0,2842.0,1341.0,5101.0,7.0,14759.0,221385.0,2213.85,1500.0,Medium,ORD-20260625-H0012,Late,Gemadept,Outsource
SUP-001,360.0,205.0,2633.0,41.0,2967.0,1229.0,1139.0,4734.0,7.0,13985.0,125865.0,1258.65,10000.0,Medium,ORD-20260625-H0013,On-Time,DHL,Internal
SUP-013,1042.0,345.0,1384.0,779.0,2514.0,1722.0,1460.0,4689.0,5.0,4326.0,25956.0,259.56,2800.0,Critical,ORD-20260625-H0014,On-Time,Wanhai,internel
SUP-011,349.0,202.0,4755.0,178.0,1307.0,2831.0,242.0,3738.0,10.0,1362.0,9534.0,95.34,4500.0,medium,ORD-20260625-H0015,On-Time,O.N.E,internel
SUP-002,,416.0,3585.0,910.0,516.0,1887.0,1393.0,466.0,8.0,12160.0,145920.0,1459.2,10000.0,Low,ORD-20260625-H0016,On-Time,DHL,Internal
SUP-011,833.0,500.0,4317.0,760.0,2876.0,2503.0,224.0,1758.0,2.0,11347.0,68082.0,680.82,2800.0,Critical,ORD-20260625-H0017,On-Time,Wanhai,Both
SUP-004,61.0,422.0,3104.0,949.0,1337.0,1779.0,161.0,5517.0,4.0,12591.0,100728.0,1007.28,2800.0,Medium,ORD-20260625-H0018,On-Time,Wanhai,Internal
SUP-009,1477.0,482.0,674.0,362.0,947.0,1113.0,1381.0,2368.0,1.0,2900.0,34800.0,348.0,4500.0,Medium,ORD-20260625-H0019,On-Time,ONE,Outsource
SUP-014,,436.0,1282.0,419.0,769.0,2332.0,1413.0,2084.0,6.0,14753.0,1991655.0,1327.77,1500.0,High,ORD-20260625-H0020,On-Time,Gemadept,Internal
SUP-004,1004.0,221.0,2758.0,473.0,2043.0,253.0,1153.0,4938.0,6.0,11143.0,167145.0,1671.45,2800.0,Low,ORD-20260625-H0021,On-Time,Wanhai,Outsource
SUP-008,779.0,84.0,2247.0,718.0,2280.0,2265.0,160.0,3739.0,3.0,4502.0,40518.0,405.18,10000.0,Medium,ORD-20260625-H0022,On-Time,DHL,Internal
SUP-002,1351.0,975.0,2947.0,162.0,2200.0,2414.0,502.0,3066.0,1.0,4832.0,28992.0,289.92,1500.0,High,ORD-20260625-H0023,On-Time,Gemadept,Internal
SUP-001,1426.0,927.0,1175.0,869.0,840.0,2984.0,462.0,4478.0,5.0,7218.0,93834.0,938.34,10000.0,High,ORD-20260625-H0024,On-Time,D.H.L,Both
SUP-009,1067.0,574.0,2006.0,889.0,2842.0,2402.0,653.0,2746.0,1.0,10873.0,97857.0,978.57,2800.0,Medium,ORD-20260625-H0025,On-Time,Wanhai,outsourced
SUP-010,1048.0,752.0,389.0,416.0,122.0,270.0,1009.0,3718.0,3.0,2519.0,35266.0,352.66,10000.0,Medium,ORD-20260625-H0026,On-Time,DHL,Both
SUP-012,352.0,36.0,2934.0,555.0,1754.0,716.0,235.0,3448.0,8.0,13826.0,138260.0,1382.6,1500.0,Low,ORD-20260625-H0027,On-Time,Gemadept,internel
SUP-006,590.0,855.0,3205.0,160.0,559.0,647.0,1160.0,2317.0,10.0,6221.0,68431.0,684.31,4500.0,Low,ORD-20260625-H0028,On-Time,ONE,Outsource
SUP-011,519.0,816.0,4858.0,980.0,749.0,1308.0,1297.0,1999.0,9.0,13269.0,145959.0,1459.59,4500.0,Low,ORD-20260625-H0029,On-Time,ONE,Internal
SUP-010,862.0,202.0,2099.0,259.0,581.0,2025.0,100.0,322.0,3.0,9233.0,129262.0,1292.62,4500.0,Medium,ORD-20260625-H0030,On-Time,ONE,Internal
SUP-005,126.0,410.0,1467.0,311.0,219.0,2849.0,1199.0,591.0,9.0,8203.0,65624.0,656.24,10000.0,Medium,ORD-20260625-H0031,On-Time,DHL,internel
SUP-003,1069.0,63.0,1728.0,836.0,772.0,2814.0,1219.0,3498.0,7.0,3408.0,37488.0,374.88,4500.0,Critical,ORD-20260625-H0032,On-Time,ONE,Internal
SUP-015,73.0,992.0,3402.0,101.0,2355.0,2557.0,1114.0,5210.0,8.0,4745.0,66430.0,664.3,10000.0,High,ORD-20260625-H0033,On-Time,DHL,Internal
SUP-009,1088.0,920.0,3756.0,579.0,1984.0,2886.0,404.0,,6.0,11638.0,151294.0,1512.94,1500.0,Medium,ORD-20260625-H0034,On-Time,Gemadept,Internal
SUP-002,725.0,719.0,4090.0,884.0,417.0,1711.0,412.0,4753.0,5.0,6964.0,83568.0,835.68,1500.0,High,ORD-20260625-H0035,On-Time,Gemadept_Port,Internal
SUP-010,574.0,921.0,846.0,889.0,2485.0,245.0,585.0,4240.0,10.0,4994.0,44946.0,449.46,1500.0,Low,ORD-20260625-H0036,On-Time,Gemadept,Internal
SUP-015,396.0,501.0,3088.0,190.0,2302.0,2637.0,1357.0,3343.0,8.0,12410.0,124100.0,1241.0,4500.0,Low,ORD-20260625-H0037,On-Time,ONE,Outsource
SUP-013,221.0,282.0,2635.0,793.0,967.0,361.0,85.0,2759.0,2.0,5707.0,68484.0,684.84,10000.0,Medium,ORD-20260625-H0038,On-Time,DHL,Internal
SUP-015,1400.0,193.0,800.0,996.0,493.0,1249.0,326.0,1295.0,7.0,3636.0,39996.0,399.96,10000.0,Low,ORD-20260625-H0039,On-Time,DHL,Internal
SUP-008,761.0,460.0,2563.0,599.0,2652.0,1727.0,1398.0,2971.0,1.0,7534.0,75340.0,753.4,4500.0,Medium,ORD-20260625-H0040,On-Time,ONE,Internal
SUP-015,538.0,585.0,2261.0,545.0,1070.0,444.0,1059.0,4341.0,7.0,10660.0,149240.0,1492.4,2800.0,medium,ORD-20260625-H0041,On-Time,Wanhai,Internal
SUP-004,427.0,239.0,441.0,561.0,412.0,2098.0,231.0,4888.0,6.0,7636.0,76360.0,763.6,1500.0,Medium,ORD-20260625-H0042,Late,Gemadept_Port,Outsource
SUP-014,1237.0,577.0,2241.0,129.0,1382.0,1231.0,520.0,3187.0,4.0,8680.0,95480.0,954.8,2800.0,Medium,ORD-20260625-H0043,On-Time,Wanhai,Internal
SUP-014,421.0,413.0,3024.0,231.0,2161.0,2092.0,466.0,972.0,3.0,8656.0,129840.0,1298.4,1500.0,Medium,ORD-20260625-H0044,On-Time,Gemadept,Internal
SUP-013,1049.0,791.0,2812.0,795.0,176.0,1680.0,938.0,,9.0,6524.0,78288.0,782.88,4500.0,Critical,ORD-20260625-H0045,On-Time,ONE,Outsource
SUP-007,1026.0,214.0,1563.0,457.0,508.0,613.0,1223.0,5728.0,6.0,8695.0,60865.0,608.65,2800.0,Medium,ORD-20260625-H0046,On-Time,Wanhai,Outsource
SUP-008,1497.0,428.0,1678.0,341.0,2541.0,1044.0,453.0,,6.0,11160.0,111600.0,1116.0,4500.0,High,ORD-20260625-H0047,On-Time,ONE,Both
SUP-013,806.0,490.0,2756.0,919.0,2367.0,812.0,563.0,1650.0,1.0,10116.0,111276.0,1112.76,4500.0,High,ORD-20260625-H0048,On-Time,ONE,Outsource
SUP-012,526.0,366.0,975.0,733.0,843.0,314.0,615.0,4950.0,5.0,3642.0,29136.0,291.36,2800.0,Low,ORD-20260625-H0049,On-Time,Wanhai,outsourced
SUP-001,431.0,481.0,4214.0,103.0,532.0,1750.0,490.0,5990.0,7.0,1090.0,9810.0,98.1,2800.0,medium,ORD-20260625-H0050,On-Time,Wanhai,Outsource
SUP-010,204.0,80.0,234.0,975.0,2953.0,1442.0,1319.0,2484.0,4.0,6359.0,,445.13,4500.0,High,ORD-20260625-H0051,On-Time,ONE,internel
SUP-015,306.0,185.0,3352.0,395.0,1578.0,703.0,1041.0,3238.0,2.0,12950.0,155400.0,1554.0,10000.0,Critical,ORD-20260625-H0052,On-Time,DHL,Outsource
SUP-011,723.0,691.0,2155.0,72.0,1777.0,2985.0,1119.0,1363.0,9.0,5698.0,39886.0,398.86,4500.0,Medium,ORD-20260625-H0053,On-Time,ONE,Internal
SUP-001,117.0,170.0,1785.0,886.0,1931.0,871.0,124.0,263.0,6.0,6261.0,43827.0,438.27,10000.0,Critical,ORD-20260625-H0054,On-Time,DHL,Outsource
SUP-009,393.0,130.0,4143.0,515.0,1087.0,769.0,1222.0,2526.0,9.0,12519.0,125190.0,1251.9,2800.0,Medium,ORD-20260625-H0055,On-Time,Wanhai,Internal
SUP-009,1350.0,507.0,3273.0,275.0,1621.0,1180.0,455.0,249.0,8.0,14398.0,143980.0,1439.8,4500.0,Low,ORD-20260625-H0056,On-Time,ONE,Internal
SUP-011,722.0,,1221.0,605.0,2801.0,658.0,52.0,4510.0,1.0,10518.0,115698.0,1156.98,4500.0,Medium,ORD-20260625-H0057,On-Time,ONE,Internal
SUP-010,440.0,22.0,3661.0,239.0,2964.0,1525.0,1082.0,5956.0,2.0,3747.0,393435.0,262.29,2800.0,High,ORD-20260625-H0058,On-Time,Wanhai,Outsource
SUP-001,308.0,502.0,2813.0,674.0,1653.0,2369.0,563.0,1874.0,2.0,6715.0,94010.0,940.1,2800.0,Medium,ORD-20260625-H0059,On-Time,Wanhai,internel
SUP-005,356.0,32.0,4043.0,119.0,854.0,574.0,1311.0,2678.0,2.0,4188.0,29316.0,293.16,2800.0,Low,ORD-20260625-H0060,On-Time,Wanhai,Outsource
SUP-011,1168.0,,1700.0,148.0,775.0,1231.0,589.0,704.0,4.0,8423.0,50538.0,505.38,4500.0,Low,ORD-20260625-H0061,On-Time,O.N.E,Internal
SUP-014,999.0,363.0,4998.0,937.0,931.0,962.0,339.0,1791.0,7.0,8705.0,78345.0,783.45,4500.0,Medium,ORD-20260625-H0062,On-Time,O.N.E,Internal
SUP-004,1019.0,,361.0,238.0,1219.0,911.0,230.0,4544.0,7.0,8441.0,59087.0,590.87,1500.0,Medium,ORD-20260625-H0063,On-Time,Gemadept,internel
SUP-014,295.0,351.0,4497.0,496.0,127.0,2327.0,1388.0,933.0,1.0,1163.0,13956.0,139.56,4500.0,Low,ORD-20260625-H0064,On-Time,ONE,Internal
SUP-010,782.0,283.0,2181.0,802.0,1353.0,276.0,315.0,3052.0,8.0,4293.0,38637.0,386.37,4500.0,High,ORD-20260625-H0065,On-Time,O.N.E,Internal
SUP-013,236.0,102.0,1195.0,477.0,515.0,586.0,132.0,667.0,4.0,13724.0,96068.0,960.68,1500.0,Low,ORD-20260625-H0066,On-Time,Gemadept,Internal
SUP-011,974.0,796.0,3542.0,999.0,2172.0,2561.0,307.0,3008.0,8.0,10554.0,,1583.1,10000.0,low,ORD-20260625-H0067,On-Time,DHL,Internal
SUP-011,834.0,943.0,4751.0,41.0,1810.0,791.0,999.0,709.0,10.0,4068.0,40680.0,406.8,2800.0,Critical,ORD-20260625-H0068,Late,Wanhai,outsourced
SUP-014,1446.0,353.0,3998.0,709.0,2820.0,2722.0,248.0,5759.0,9.0,8229.0,115206.0,1152.06,4500.0,Medium,ORD-20260625-H0069,On-Time,ONE,Internal
SUP-004,,399.0,1475.0,579.0,641.0,367.0,1365.0,2973.0,7.0,12460.0,112140.0,1121.4,1500.0,Low,ORD-20260625-H0070,Late,Gemadept,Outsource
SUP-011,457.0,238.0,1216.0,648.0,264.0,884.0,697.0,3057.0,3.0,7081.0,,424.86,4500.0,Low,ORD-20260625-H0071,On-Time,ONE,Internal
SUP-002,1198.0,677.0,537.0,348.0,2355.0,2535.0,1156.0,3429.0,3.0,1137.0,14781.0,147.81,4500.0,Critical,ORD-20260625-H0072,On-Time,ONE,outsourced
SUP-005,1410.0,829.0,1078.0,907.0,1084.0,2501.0,315.0,3365.0,5.0,13217.0,171821.0,1718.21,4500.0,Medium,ORD-20260625-H0073,On-Time,ONE,Outsource
SUP-011,390.0,828.0,1276.0,710.0,2761.0,913.0,1490.0,1709.0,7.0,2840.0,42600.0,426.0,1500.0,Medium,ORD-20260625-H0074,Late,Gemadept,Outsource
SUP-012,612.0,473.0,4193.0,499.0,472.0,2416.0,1046.0,4269.0,7.0,9298.0,139470.0,1394.7,2800.0,Medium,ORD-20260625-H0075,On-Time,Wanhai,Internal
SUP-002,1251.0,692.0,579.0,804.0,717.0,1369.0,919.0,3710.0,9.0,2718.0,27180.0,271.8,10000.0,Low,ORD-20260625-H0076,On-Time,DHL,outsourced
SUP-003,700.0,760.0,692.0,893.0,168.0,1301.0,780.0,365.0,1.0,11282.0,146666.0,1466.66,2800.0,High,ORD-20260625-H0077,On-Time,Wanhai_Inc,internel
SUP-008,,765.0,2262.0,358.0,1643.0,1190.0,910.0,5375.0,3.0,3098.0,18588.0,185.88,10000.0,Critical,ORD-20260625-H0078,On-Time,DHL,Outsource
SUP-009,1243.0,108.0,4084.0,891.0,1758.0,376.0,68.0,,1.0,2685.0,18795.0,187.95,10000.0,Critical,ORD-20260625-H0079,On-Time,DHL,Outsource
SUP-009,1112.0,352.0,264.0,878.0,200.0,1331.0,420.0,3641.0,6.0,13074.0,117666.0,1176.66,2800.0,Low,ORD-20260625-H0080,Late,Wanhai,Both
SUP-015,118.0,329.0,2768.0,198.0,100.0,406.0,1096.0,1601.0,10.0,12133.0,,970.64,4500.0,Low,ORD-20260625-H0081,On-Time,ONE,Internal
SUP-007,1309.0,746.0,2227.0,440.0,2498.0,1673.0,1458.0,4203.0,7.0,1680.0,13440.0,134.4,1500.0,high,ORD-20260625-H0082,On-Time,Gemadept,Internal
SUP-004,430.0,439.0,2895.0,501.0,2154.0,730.0,668.0,5714.0,2.0,7196.0,100744.0,1007.44,2800.0,Low,ORD-20260625-H0083,On-Time,Wanhai,Internal
SUP-009,106.0,628.0,1695.0,68.0,417.0,2685.0,692.0,1614.0,9.0,12687.0,177618.0,1776.18,1500.0,Medium,ORD-20260625-H0084,Late,Gemadept,Both
SUP-001,1350.0,744.0,591.0,846.0,2770.0,2665.0,428.0,1575.0,5.0,11897.0,,1546.61,1500.0,Medium,ORD-20260625-H0085,On-Time,Gemadept,Internal
SUP-015,899.0,,4714.0,925.0,1978.0,1237.0,866.0,3353.0,3.0,3353.0,40236.0,402.36,4500.0,Medium,ORD-20260625-H0086,On-Time,O.N.E,Internal
SUP-002,1172.0,843.0,4674.0,786.0,2656.0,2281.0,873.0,3259.0,7.0,8178.0,106314.0,1063.14,1500.0,Low,ORD-20260625-H0087,On-Time,Gemadept_Port,Internal
SUP-010,965.0,119.0,3761.0,49.0,285.0,2972.0,139.0,262.0,7.0,12713.0,114417.0,1144.17,1500.0,Medium,ORD-20260625-H0088,On-Time,Gemadept,Internal
SUP-014,374.0,,2478.0,104.0,827.0,1813.0,193.0,2949.0,1.0,8528.0,102336.0,1023.36,1500.0,Medium,ORD-20260625-H0089,On-Time,Gemadept,Internal
SUP-005,510.0,29.0,3299.0,808.0,2609.0,1148.0,670.0,4174.0,6.0,7718.0,100334.0,1003.34,10000.0,Low,ORD-20260625-H0090,On-Time,DHL,Outsource
SUP-005,228.0,63.0,400.0,521.0,442.0,1683.0,913.0,4850.0,3.0,2138.0,19242.0,192.42,1500.0,Critical,ORD-20260625-H0091,On-Time,Gemadept,Internal
SUP-005,893.0,782.0,3304.0,565.0,2782.0,1466.0,253.0,4057.0,7.0,2671.0,26710.0,267.1,10000.0,High,ORD-20260625-H0092,On-Time,DHL,Internal
SUP-008,623.0,405.0,4798.0,348.0,812.0,912.0,1465.0,2395.0,5.0,3642.0,47346.0,473.46,4500.0,low,ORD-20260625-H0093,On-Time,ONE,internel
SUP-010,,758.0,2654.0,629.0,2723.0,1934.0,1374.0,1742.0,4.0,8752.0,61264.0,612.64,4500.0,Medium,ORD-20260625-H0094,On-Time,ONE,Outsource
SUP-002,598.0,929.0,3845.0,453.0,235.0,2219.0,914.0,4603.0,10.0,3887.0,34983.0,349.83,1500.0,Medium,ORD-20260625-H0095,On-Time,Gemadept,outsourced
SUP-010,695.0,780.0,1004.0,607.0,2022.0,1051.0,202.0,2028.0,7.0,11352.0,102168.0,1021.68,4500.0,Medium,ORD-20260625-H0096,On-Time,ONE,Outsource
SUP-009,75.0,514.0,2931.0,706.0,482.0,2132.0,578.0,297.0,7.0,6134.0,92010.0,920.1,2800.0,Medium,ORD-20260625-H0097,On-Time,Wanhai,Outsource
SUP-005,1081.0,512.0,2973.0,872.0,285.0,1324.0,388.0,1525.0,8.0,2934.0,26406.0,264.06,2800.0,Medium,ORD-20260625-H0098,On-Time,Wanhai,Both
SUP-014,1018.0,188.0,1770.0,268.0,2786.0,1449.0,798.0,5361.0,5.0,2384.0,14304.0,143.04,10000.0,Critical,ORD-20260625-H0099,On-Time,DHL,Internal
SUP-007,582.0,661.0,2890.0,871.0,1027.0,132.0,1408.0,5049.0,4.0,6894.0,75834.0,758.34,2800.0,High,ORD-20260625-H0100,On-Time,Wanhai,Outsource
SUP-009,198.0,550.0,4040.0,153.0,1063.0,196.0,1129.0,3655.0,1.0,1212.0,9696.0,96.96,4500.0,Medium,ORD-20260625-H0101,On-Time,ONE,Internal
SUP-005,1098.0,355.0,1228.0,709.0,660.0,362.0,605.0,3375.0,4.0,3157.0,22099.0,220.99,2800.0,High,ORD-20260625-H0102,On-Time,Wanhai,Internal
SUP-004,704.0,766.0,702.0,384.0,1289.0,1013.0,802.0,,10.0,1409.0,21135.0,211.35,10000.0,Medium,ORD-20260625-H0103,On-Time,DHL,Internal
SUP-015,994.0,876.0,4693.0,759.0,997.0,2440.0,980.0,5955.0,1.0,4392.0,57096.0,570.96,10000.0,Medium,ORD-20260625-H0104,On-Time,DHL,Internal
SUP-009,604.0,532.0,1070.0,594.0,2786.0,2877.0,600.0,2224.0,7.0,8090.0,97080.0,970.8,10000.0,medium,ORD-20260625-H0105,On-Time,DHL,Internal
SUP-008,,149.0,4688.0,799.0,2028.0,271.0,1203.0,5351.0,6.0,6977.0,83724.0,837.24,1500.0,Low,ORD-20260625-H0106,On-Time,Gemadept,Both
SUP-013,342.0,558.0,406.0,444.0,1937.0,857.0,147.0,3181.0,7.0,9089.0,109068.0,1090.68,4500.0,Low,ORD-20260625-H0107,On-Time,ONE,Internal
SUP-003,1258.0,533.0,1684.0,434.0,2468.0,1025.0,842.0,878.0,8.0,2371.0,,165.97,4500.0,Medium,ORD-20260625-H0108,On-Time,ONE,Outsource
SUP-004,603.0,269.0,1063.0,789.0,1812.0,1518.0,471.0,1505.0,6.0,3568.0,35680.0,356.8,4500.0,High,ORD-20260625-H0109,On-Time,ONE,Outsource
SUP-015,480.0,753.0,2990.0,675.0,1838.0,1379.0,129.0,3301.0,2.0,5249.0,472410.0,314.94,2800.0,Low,ORD-20260625-H0110,On-Time,Wanhai,Internal
SUP-009,653.0,966.0,763.0,531.0,1280.0,1000.0,337.0,1989.0,2.0,7002.0,49014.0,490.14,4500.0,Medium,ORD-20260625-H0111,On-Time,ONE,Internal
SUP-001,366.0,157.0,4391.0,404.0,957.0,2664.0,896.0,5884.0,9.0,12724.0,190860.0,1908.6,10000.0,Low,ORD-20260625-H0112,On-Time,DHL,internel
SUP-011,447.0,294.0,1957.0,407.0,384.0,1133.0,218.0,4174.0,6.0,10732.0,64392.0,643.92,4500.0,Medium,ORD-20260625-H0113,On-Time,O.N.E,Internal
SUP-007,1397.0,483.0,1878.0,834.0,2498.0,370.0,1152.0,3166.0,6.0,7765.0,85415.0,854.15,2800.0,High,ORD-20260625-H0114,On-Time,Wanhai,Outsource
SUP-015,645.0,160.0,3442.0,468.0,2230.0,841.0,120.0,3096.0,1.0,12025.0,168350.0,1683.5,1500.0,Critical,ORD-20260625-H0115,On-Time,Gemadept,Internal
SUP-010,595.0,963.0,4836.0,583.0,1747.0,1435.0,312.0,5243.0,8.0,12828.0,166764.0,1667.64,10000.0,High,ORD-20260625-H0116,On-Time,DHL,Internal
SUP-015,125.0,275.0,1259.0,322.0,765.0,2714.0,761.0,3420.0,8.0,9598.0,105578.0,1055.78,1500.0,High,ORD-20260625-H0117,Late,Gemadept,Outsource
SUP-003,914.0,901.0,1922.0,118.0,1493.0,2022.0,772.0,1299.0,4.0,2243.0,26916.0,269.16,10000.0,Medium,ORD-20260625-H0118,On-Time,DHL,Both
SUP-010,965.0,843.0,3514.0,992.0,2688.0,2700.0,579.0,5277.0,7.0,7628.0,61024.0,610.24,4500.0,Low,ORD-20260625-H0119,On-Time,ONE,Internal
SUP-014,,475.0,3357.0,325.0,2124.0,2797.0,834.0,4702.0,9.0,10924.0,163860.0,1638.6,10000.0,High,ORD-20260625-H0120,On-Time,DHL,Outsource
SUP-007,535.0,971.0,2825.0,576.0,2627.0,490.0,259.0,3852.0,1.0,6948.0,48636.0,486.36,1500.0,High,ORD-20260625-H0121,On-Time,Gemadept,Internal
SUP-009,1161.0,453.0,2929.0,61.0,2360.0,1058.0,166.0,4844.0,5.0,13378.0,173914.0,1739.14,2800.0,Low,ORD-20260625-H0122,On-Time,Wanhai,Outsource
SUP-010,796.0,,1797.0,487.0,1029.0,674.0,665.0,1870.0,8.0,13755.0,137550.0,1375.5,4500.0,low,ORD-20260625-H0123,On-Time,ONE,Internal
